,Trait,Sequence,Model,Log-likelihood,Corrected AIC,LOCO MSE,Z0,True Z0,Zeq
69,gc_content,segment_10270_10563,"NeutralModel (fixed u=1.34, Z_eq=0.44, sigma_eq=0.2464/L)",110.85729032519998,-217.3717235075428,0.0,0.34042896898826513,0.445578231292517,1.1561367922627532
70,gc_content,segment_10270_10563,OU,111.04324025636637,-212.87435930061153,0.0,0.3178533629971078,0.445578231292517,0.6900241191302988
71,gc_content,segment_10270_10563,OU (Z0=Zeq),110.13055864321481,-213.55523493348844,0.0,0.44797822037644586,0.445578231292517,0.44797822037644586
72,gc_content,segment_10270_10563,BM,110.09920280172318,-215.8555484605892,0.0,0.44794191976971975,0.445578231292517,0.44794191976971975
73,longest_ORF,segment_10270_10563,NeutralModel,67.03371625013989,-122.19243250027978,0.0,0.09459197884907204,0.29591836734693877,0.6673908716843557
74,longest_ORF,segment_10270_10563,NeutralModel (fixed u=1.34),66.82482426767012,-124.43752732321903,0.0,0.09934837882311201,0.29591836734693877,0.8902111401356834
75,longest_ORF,segment_10270_10563,OU,73.35700176809917,-137.50188232407712,0.0,-294.54756122939955,0.29591836734693877,0.21552020164957497
76,longest_ORF,segment_10270_10563,OU (Z0=Zeq),72.82127213165171,-138.93666191036223,0.0,0.19884740994944855,0.29591836734693877,0.19884740994944855
77,longest_ORF,segment_10270_10563,BM,62.674990352863816,-121.00712356287049,0.0,0.2092235840344493,0.29591836734693877,0.2092235840344493
78,A_percent,segment_10270_10563,NeutralModel,116.59938829861484,-221.32377659722968,0.0,0.23326272925376074,0.24489795918367346,0.45659330476709115
79,A_percent,segment_10270_10563,NeutralModel (fixed u=1.34),116.64886383714426,-224.0856064621673,0.0,0.23332727790629337,0.24489795918367346,0.41699237413516343
80,A_percent,segment_10270_10563,OU,118.17863058588333,-227.14513995964543,0.0,0.2012924919712055,0.24489795918367346,0.26719847255667944
81,A_percent,segment_10270_10563,OU (Z0=Zeq),118.12369995465599,-229.5415175563708,0.0,0.2578549793871458,0.24489795918367346,0.2578549793871458
82,A_percent,segment_10270_10563,BM,113.48112944957592,-222.61940175629468,0.0,0.25743837442580353,0.24489795918367346,0.25743837442580353
83,longest_ORF_alan,segment_10270_10563,NeutralModel,-153.3473559579333,318.5697119158666,0.0,55.01501959911371,82.0,11.42191059029871
84,longest_ORF_alan,segment_10270_10563,NeutralModel (fixed u=1.34),-151.60114307658972,312.41440736530063,0.0,66.55265238181163,82.0,-95.04158250132703
85,longest_ORF_alan,segment_10270_10563,OU,-350.2160770471783,709.6442753064779,0.0,46.50050581196369,82.0,-0.6253055332889338
86,longest_ORF_alan,segment_10270_10563,OU (Z0=Zeq),-370.23071092899124,747.1673042109237,0.0,46.406657451945904,82.0,46.406657451945904
87,longest_ORF_alan,segment_10270_10563,BM,-154.14646588739294,312.635788917643,0.0,47.00596552801113,82.0,47.00596552801113
88,gc_content,segment_11935_12275,NeutralModel,126.32037290625784,-240.70526194154795,0.0,0.564270305794887,0.49266862170087977,-0.2667788496495261
89,gc_content,segment_11935_12275,NeutralModel (fixed u=1.34),126.2798344487317,-243.3096688974634,0.0,0.5665220514388015,0.49266862170087977,-0.08174563792241125
90,gc_content,segment_11935_12275,"NeutralModel (fixed u=1.34, Z_eq=0.44)",126.27983444853689,-245.83239616980106,0.0,0.5665232938345474,0.49266862170087977,-0.08175464524064091
91,gc_content,segment_11935_12275,"NeutralModel (fixed u=1.34, Z_eq=0.44, sigma_eq=0.2464/L)",126.11269124848224,-247.8724413204939,0.0,0.5693344217529839,0.49266862170087977,-0.10008655929916423
92,gc_content,segment_11935_12275,OU,125.69223796772891,-242.13447593545783,0.0,0.481480072016382,0.49266862170087977,0.9067114131143583
93,gc_content,segment_11935_12275,OU (Z0=Zeq),125.43160167904504,-244.13593063081737,0.0,0.48149351759507575,0.49266862170087977,0.48149351759507575
94,gc_content,segment_11935_12275,BM,125.69225870759844,-247.0315762387263,0.0,0.481481751530363,0.49266862170087977,0.481481751530363
95,longest_ORF,segment_11935_12275,NeutralModel,60.976392312798836,-110.01730075462993,0.0,0.3518267431501469,0.20821114369501467,-0.4344428458343109
96,longest_ORF,segment_11935_12275,NeutralModel (fixed u=1.34),60.75375048464875,-112.2575009692975,0.0,0.3510119833294834,0.20821114369501467,-0.7770888022887591
97,longest_ORF,segment_11935_12275,OU,68.21475348204157,-127.17950696408315,0.0,13.142367013572263,0.20821114369501467,0.19752009353427888
98,longest_ORF,segment_11935_12275,OU (Z0=Zeq),68.22118636513014,-129.71510000298755,0.0,0.19871950320930626,0.20821114369501467,0.19871950320930626
99,longest_ORF,segment_11935_12275,BM,56.141170281590526,-107.92939938671046,0.0,0.20443643059424937,0.20821114369501467,0.20443643059424937
100,A_percent,segment_11935_12275,NeutralModel,120.59562739385696,-229.25577091674617,0.0,0.12818038471141519,0.25806451612903225,1.2017505073228743
101,A_percent,segment_11935_12275,NeutralModel (fixed u=1.34),119.71850382147095,-230.1870076429419,0.0,0.22954261537902146,0.25806451612903225,0.43126972506714034
102,A_percent,segment_11935_12275,OU,120.5759205141419,-231.9018410282838,0.0,0.1308250179973421,0.25806451612903225,1.3133314300559324
103,A_percent,segment_11935_12275,OU (Z0=Zeq),119.30737193232946,-231.8874711373862,0.0,0.2557398486534789,0.25806451612903225,0.2557398486534789
104,A_percent,segment_11935_12275,BM,119.32583612390371,-234.29873107133685,0.0,0.2557337973419054,0.25806451612903225,0.2557337973419054
105,longest_ORF_alan,segment_11935_12275,NeutralModel,-144.82090957984715,301.57730303066205,0.0,204.08402324451745,50.0,-608.7636163473469
