,Trait,Sequence,Model,Log-likelihood,Corrected AIC,Pairwise Divergence Error,LOCO MSE,Z0,True Z0,Zeq
46,longest_ORF_alan,segment_11196_11705,OU (Z0=Zeq),-167.54730875158128,341.7803317888769,692.8209666554568,15490.437104387012,57.071273220605626,34.0,57.071273220605626
47,longest_ORF_alan,segment_11196_11705,BM,-204.0014239061428,412.3361811456189,13939.035595207279,17747.798896224704,69.2516327627335,34.0,69.2516327627335
48,gc_content,segment_320_722,NeutralModel,117.80773370978977,-223.74046741957955,0.0007661282976325129,0.005737076011605914,0.5603075758597711,0.533498759305211,0.42996363724883524
49,gc_content,segment_320_722,NeutralModel (fixed u=1.34),117.1633148921854,-225.11450857224958,0.0008488030327795047,0.007198262261495014,0.5583642166087965,0.533498759305211,0.3910618358419679
50,gc_content,segment_320_722,"NeutralModel (fixed u=1.34, Z_eq=0.44)",117.1633148817269,-227.62074741051262,0.000848822224743714,0.005830025844379774,0.5583639999054466,0.533498759305211,0.3910614515900543
51,gc_content,segment_320_722,"NeutralModel (fixed u=1.34, Z_eq=0.44, sigma_eq=0.2464/L)",115.44878662179302,-226.55471610072888,0.0008894803301756972,0.006294568528762156,0.5582393423003928,0.533498759305211,0.39363980876949595
52,gc_content,segment_320_722,OU,118.88325711437375,-228.55439301662628,0.0005754575638223702,0.10580175981616248,0.5866560404243434,0.533498759305211,0.47990100820001813
53,gc_content,segment_320_722,OU (Z0=Zeq),110.48656481885067,-214.26724728476015,0.0011224774590812947,0.01141116741774258,0.5325339069170859,0.533498759305211,0.5325339069170859
54,gc_content,segment_320_722,BM,110.50009950609947,-216.6573418693418,0.0011339326622164902,0.00960693497421744,0.5333027448243952,0.533498759305211,0.5333027448243952
55,longest_ORF,segment_320_722,NeutralModel,59.806729574630765,-107.73845914926153,0.012716425424123773,0.09735602167081957,0.24482102648234283,0.18858560794044665,0.13316217267215902
56,longest_ORF,segment_320_722,NeutralModel (fixed u=1.34),58.915701544309,-108.61928187649679,0.014414078575208435,0.09375859607624665,0.24351289141637142,0.18858560794044665,0.09417637679807984
57,longest_ORF,segment_320_722,OU,67.97624907643177,-126.74037694074232,0.004289765499889625,11833.237344117293,0.5532798026162515,0.18858560794044665,0.20456424001929827
