,Trait,Sequence,Model,Corrected AIC,LOCO MSE,Z0,Zeq
79,longest_ORF_alan,segment_10270_10563,BM,309.2275096357081,7259.945920589097,64.8314953597606,64.8314953597606
80,gc_content,segment_11935_12275,NeutralModel,-196.53784255628057,0.0036651975614223242,0.4793762009224988,0.47757610241185033
81,gc_content,segment_11935_12275,NeutralModel (fixed u=1.3),-197.51788336572548,0.003608832600503524,0.47943693260794357,0.4759923758575709
82,gc_content,segment_11935_12275,OU,,,,
83,gc_content,segment_11935_12275,OU (Z0=Zeq),,,,
84,gc_content,segment_11935_12275,BM,-195.44905036051264,0.0029663080963515053,0.4790732333115089,0.4790732333115089
85,longest_ORF,segment_11935_12275,NeutralModel,-42.670648752957035,0.07526657492351929,0.14337741160716774,0.3168284556147859
86,longest_ORF,segment_11935_12275,NeutralModel (fixed u=1.3),-43.33152519033412,0.07578288934024487,0.1442843999976483,0.3908472730515764
87,longest_ORF,segment_11935_12275,OU,,,,
88,longest_ORF,segment_11935_12275,OU (Z0=Zeq),,,,
89,longest_ORF,segment_11935_12275,BM,-40.178080699605324,0.06670182742210651,0.19361482991166876,0.19361482991166876
90,A_percent,segment_11935_12275,NeutralModel,-165.49987840278075,0.004581757387307897,0.2440072490328606,0.2728413282732098
91,A_percent,segment_11935_12275,NeutralModel (fixed u=1.3),-166.27721427294864,0.00457347524072318,0.24474228155758074,0.2824648314885035
92,A_percent,segment_11935_12275,OU,,,,
93,A_percent,segment_11935_12275,OU (Z0=Zeq),,,,
94,A_percent,segment_11935_12275,BM,-163.44347188289808,0.004845794413554076,0.2526064061161443,0.2526064061161443
95,longest_ORF_alan,segment_11935_12275,NeutralModel,876.252226336563,5059.173290975758,59.81306920735682,37.94511588115609
96,longest_ORF_alan,segment_11935_12275,NeutralModel (fixed u=1.3),1093.4447551811445,5910.998337126851,41.783661014519225,82.29253969940532
97,longest_ORF_alan,segment_11935_12275,OU,,,,
98,longest_ORF_alan,segment_11935_12275,OU (Z0=Zeq),,,,
99,longest_ORF_alan,segment_11935_12275,BM,953.351962466903,5844.231018936169,58.00197273950008,58.00197273950008
100,gc_content,segment_7916_8695,NeutralModel,-258.05485165786996,0.0025316837872601896,0.4298573910037759,0.4341889910551795
101,gc_content,segment_7916_8695,NeutralModel (fixed u=1.3),-259.2888612113775,0.0026582089699831463,0.4297953053174005,0.43611946708333843
102,gc_content,segment_7916_8695,OU,-270.36978190205235,0.011088903720789165,0.42941059588667313,0.4320630023194156
103,gc_content,segment_7916_8695,OU (Z0=Zeq),-272.84312588940065,0.002368585695643923,0.4320138735526551,0.4320138735526551
104,gc_content,segment_7916_8695,BM,-259.0539321058416,0.002503363963827941,0.4309046556054799,0.4309046556054799
105,longest_ORF,segment_7916_8695,NeutralModel,-196.38995317462945,0.024528618128285107,0.09405290138048958,0.11303288744091283
106,longest_ORF,segment_7916_8695,NeutralModel (fixed u=1.3),-198.50760836416939,0.024504915141826462,0.09468049420592119,0.11891933562826192
107,longest_ORF,segment_7916_8695,OU,-196.5380176463489,0.024355280797335004,0.08304893640992744,0.11409656966885615
108,longest_ORF,segment_7916_8695,OU (Z0=Zeq),-198.69124908046086,0.023142722859406547,0.10309189480641927,0.10309189480641927
109,longest_ORF,segment_7916_8695,BM,-198.7337628469626,0.024075860234266198,0.0996966301364581,0.0996966301364581
110,A_percent,segment_7916_8695,NeutralModel,-289.4070244931087,0.0015989097261386053,0.2737004546974938,0.29239687031412254
111,A_percent,segment_7916_8695,NeutralModel (fixed u=1.3),-292.59533725021737,0.0014945143029648734,0.27360963365153396,0.28897755074368725
112,A_percent,segment_7916_8695,OU,-299.9733435291526,0.001633508372436335,0.2663947686279615,0.2785835336001382
113,A_percent,segment_7916_8695,OU (Z0=Zeq),-302.2252981115467,0.0013463661695635627,0.27819994092148936,0.27819994092148936
114,A_percent,segment_7916_8695,BM,-292.7072628606375,0.001491314468922358,0.2767351790843345,0.2767351790843345
115,longest_ORF_alan,segment_7916_8695,NeutralModel,363.26430506396633,16528.16736722704,41.82415550928542,98.28425452379521
116,longest_ORF_alan,segment_7916_8695,NeutralModel (fixed u=1.3),362.27379070274037,15901.875577590888,41.184600651194856,128.41481622747906
117,longest_ORF_alan,segment_7916_8695,OU,463.05952197594667,13696.937660067395,59.35810032327875,-0.02475672990536754
118,longest_ORF_alan,segment_7916_8695,OU (Z0=Zeq),470.19253578805973,13709.655469603917,59.01566663420257,59.01566663420257
119,longest_ORF_alan,segment_7916_8695,BM,361.6547239140966,13862.683478272154,59.93818806144045,59.93818806144045
