,Trait,Sequence,Model,Corrected AIC,LOCO MSE,Z0,Zeq
50,A_percent,segment_320_722,NeutralModel,-231.80056771311536,0.00691275,0.22617564539535975,0.3292172714234941
51,A_percent,segment_320_722,NeutralModel (fixed u=1.3),-233.9054956854905,0.00693531,0.17570668742797796,0.6524392389966877
52,A_percent,segment_320_722,OU,-234.42060371771996,0.00659397,0.22778830588258014,0.37704204402943164
53,A_percent,segment_320_722,OU (Z0=Zeq),-237.45535888344926,0.00653693,0.23637943608376485,0.23637943608376485
54,A_percent,segment_320_722,BM,-239.81838637504083,0.00654957,0.23637943283210788,0.23637943283210788
55,longest_ORF_alan,segment_320_722,NeutralModel,357.36642356704976,13823.05428509,61.68577586701248,12.972218271980209
56,longest_ORF_alan,segment_320_722,NeutralModel (fixed u=1.3),355.0453746973787,14181.70615381,50.92499696588603,63.17310205860184
57,longest_ORF_alan,segment_320_722,OU,342.7917516839886,14023.75886474,2037.2176185501332,4.260767119860289
58,longest_ORF_alan,segment_320_722,OU (Z0=Zeq),354.45060856951216,14531.09466025,52.41152319277055,52.41152319277055
59,longest_ORF_alan,segment_320_722,BM,352.0912925712697,13643.87772331,52.406897002813885,52.406897002813885
60,gc_content,segment_10270_10563,NeutralModel,-209.91259303201173,0.00709736,0.3377238509181892,1.2699056635638717
61,gc_content,segment_10270_10563,NeutralModel (fixed u=1.3),-212.60069979531283,0.0069804,0.33905514601666237,1.189694797588199
62,gc_content,segment_10270_10563,OU,-212.87435935772928,0.00754468,0.317859414543779,0.6899539964829621
63,gc_content,segment_10270_10563,OU (Z0=Zeq),-213.93315224276975,0.00653517,0.4483999398525437,0.4483999398525437
64,gc_content,segment_10270_10563,BM,-215.85554846032267,0.00644111,0.44794187402781416,0.44794187402781416
65,longest_ORF,segment_10270_10563,NeutralModel,-116.90079664843165,0.05219944,0.1485930255424654,0.4598676568998622
66,longest_ORF,segment_10270_10563,NeutralModel (fixed u=1.3),-118.47905588758839,0.05248375,0.1546222448103158,0.5730830630003031
67,longest_ORF,segment_10270_10563,OU,-137.501882171556,0.05202947,-294.3825410140121,0.2155171043260853
68,longest_ORF,segment_10270_10563,OU (Z0=Zeq),-138.93666194511755,0.05073582,0.19884718482635164,0.19884718482635164
69,longest_ORF,segment_10270_10563,BM,-121.00712356286878,0.04980718,0.20922363874186373,0.20922363874186373
70,A_percent,segment_10270_10563,NeutralModel,-217.9564585245218,0.00353176,0.2401794032260912,0.33108554078494135
71,A_percent,segment_10270_10563,NeutralModel (fixed u=1.3),-219.73402276914445,0.0034746,0.24129242212323496,0.3674043341328247
72,A_percent,segment_10270_10563,OU,-227.14513995400986,0.00406085,0.2013049332961205,0.26719548876045096
73,A_percent,segment_10270_10563,OU (Z0=Zeq),-229.54151760518175,0.00375932,0.25785517162884186,0.25785517162884186
74,A_percent,segment_10270_10563,BM,-222.61940175630434,0.00336001,0.25743836535891834,0.25743836535891834
75,longest_ORF_alan,segment_10270_10563,NeutralModel,317.8491581958334,6824.95463156,72.69679404603858,-64.5725957128848
76,longest_ORF_alan,segment_10270_10563,NeutralModel (fixed u=1.3),315.8964277262827,6820.37085233,70.4582848123384,-114.69720437832389
77,longest_ORF_alan,segment_10270_10563,OU,822.1988066513081,6786.22229695,63.64335313464166,0.22887393661491315
78,longest_ORF_alan,segment_10270_10563,OU (Z0=Zeq),610.1361097365799,6746.90713014,59.78115362598878,59.78115362598878
