,Trait,Sequence,Model,Corrected AIC,LOCO MSE,Z0,Zeq
71,A_percent,segment_10270_10563,NeutralModel (fixed u=1.3),-236.64460243819505,0.006603537305358655,0.21850104436838694,0.2531436170653357
72,A_percent,segment_10270_10563,OU,-236.7276385823522,0.006623594028736892,0.21995948727558906,0.3256950000259939
73,A_percent,segment_10270_10563,OU (Z0=Zeq),-238.3463976764469,0.006770046319611758,0.2267060709399657,0.2267060709399657
74,A_percent,segment_10270_10563,BM,-240.62860637826194,0.0068622886671803485,0.22576230139294778,0.22576230139294778
75,longest_ORF_alan,segment_10270_10563,NeutralModel,295.8398540051221,3841.5113244302233,72.7735991425129,0.3413237920419705
76,longest_ORF_alan,segment_10270_10563,NeutralModel (fixed u=1.3),293.7390314387474,3759.095495536135,69.87935431109017,-19.07701397760461
77,longest_ORF_alan,segment_10270_10563,OU,328.7243892859255,5241.969208813647,53.31109768104916,0.7624493696998301
78,longest_ORF_alan,segment_10270_10563,OU (Z0=Zeq),318.4433744353719,5481.142950218886,53.36053032031919,53.36053032031919
79,longest_ORF_alan,segment_10270_10563,BM,296.3529138161212,5268.455788368426,53.480169666376746,53.480169666376746
80,gc_content,segment_11935_12275,NeutralModel,-219.51621383979247,0.015961831800890287,0.49936111059436367,0.3882797952714041
81,gc_content,segment_11935_12275,NeutralModel (fixed u=1.3),-222.19288241837586,0.015399912357523818,0.49847884537501924,0.3752471643617824
82,gc_content,segment_11935_12275,OU,,,,
83,gc_content,segment_11935_12275,OU (Z0=Zeq),,,,
84,gc_content,segment_11935_12275,BM,-224.70736942047853,0.014856064101601776,0.4729944397493726,0.4729944397493726
85,longest_ORF,segment_11935_12275,NeutralModel,-132.8871931951815,0.09030209046861548,0.1945739684181505,0.314719364139848
86,longest_ORF,segment_11935_12275,NeutralModel (fixed u=1.3),-134.19148685930605,0.11794689672857364,0.2005251974815941,0.34358228104618677
87,longest_ORF,segment_11935_12275,OU,,,,
88,longest_ORF,segment_11935_12275,OU (Z0=Zeq),,,,
89,longest_ORF,segment_11935_12275,BM,-135.78858852616796,0.09101087229424068,0.23005987047652735,0.23005987047652735
90,A_percent,segment_11935_12275,NeutralModel,-265.9229896353519,0.003415100562000768,0.26294755560416133,0.25861103451162104
91,A_percent,segment_11935_12275,NeutralModel (fixed u=1.3),-268.640389802268,0.003545628164326004,0.26327177051208495,0.2583428332412751
92,A_percent,segment_11935_12275,OU,,,,
93,A_percent,segment_11935_12275,OU (Z0=Zeq),,,,
94,A_percent,segment_11935_12275,BM,-273.03055570752474,0.0031210063225919687,0.26220914185543476,0.26220914185543476
95,longest_ORF_alan,segment_11935_12275,NeutralModel,263.8500593574232,7159.913040290449,35.72194264055833,67.56479869958002
96,longest_ORF_alan,segment_11935_12275,NeutralModel (fixed u=1.3),261.4095106092635,7078.7368387319375,35.14877671122814,85.39878488186652
97,longest_ORF_alan,segment_11935_12275,OU,,,,
98,longest_ORF_alan,segment_11935_12275,OU (Z0=Zeq),,,,
99,longest_ORF_alan,segment_11935_12275,BM,258.8759253397418,5206.171138476868,46.653665977829995,46.653665977829995
100,gc_content,segment_7916_8695,NeutralModel,-236.65482063007175,0.011781554982448064,0.4137974680687546,0.47339354406863554
101,gc_content,segment_7916_8695,NeutralModel (fixed u=1.3),-239.0337764231533,0.011620978096730846,0.4140046945240688,0.45959766173323163
102,gc_content,segment_7916_8695,OU,-239.8461764746346,0.011525488424384075,0.41299333694356727,40.08892139091366
103,gc_content,segment_7916_8695,OU (Z0=Zeq),-241.39714943174724,0.01055141603830557,0.4240927554761061,0.4240927554761061
104,gc_content,segment_7916_8695,BM,-243.76248390571737,0.010574984551184836,0.42363465373668663,0.42363465373668663
105,longest_ORF,segment_7916_8695,NeutralModel,-152.3663040449449,0.022301651812340673,0.10163750535028396,0.18864768803282805
106,longest_ORF,segment_7916_8695,NeutralModel (fixed u=1.3),-152.68432935507263,0.022057663889132387,0.10172055441658194,0.22892225022425208
107,longest_ORF,segment_7916_8695,OU,-186.6807665257669,6668.626718366258,0.6642588051128321,0.12515176070209477
108,longest_ORF,segment_7916_8695,OU (Z0=Zeq),-189.07625318161567,0.016631639453198045,0.12543506784407404,0.12543506784407404
109,longest_ORF,segment_7916_8695,BM,-152.20122220710783,0.021082197421386523,0.1281340274000552,0.1281340274000552
110,A_percent,segment_7916_8695,NeutralModel,-263.9754197282024,0.005690108188373743,0.25838891227260496,0.30960616813520664
111,A_percent,segment_7916_8695,NeutralModel (fixed u=1.3),-266.1508378639963,0.005769213407442951,0.2608961969035786,0.32019362169443555
112,A_percent,segment_7916_8695,OU,-265.76239929260424,0.005414085772049963,0.2634563461637271,0.3298695408536537
113,A_percent,segment_7916_8695,OU (Z0=Zeq),-267.03768699321495,0.005018122396461622,0.2726010672036239,0.2726010672036239
114,A_percent,segment_7916_8695,BM,-269.256301396387,0.00507501324441723,0.2717760779826439,0.2717760779826439
115,longest_ORF_alan,segment_7916_8695,NeutralModel,341.7001561773014,11897.490745428024,48.24769161900755,77.58731365044498
116,longest_ORF_alan,segment_7916_8695,NeutralModel (fixed u=1.3),340.70807250135755,11978.13284662421,49.951686142689816,82.67589066006488
117,longest_ORF_alan,segment_7916_8695,OU,409.76760317320645,11964.73573392952,95.4556774911349,-1.8593839763881177
118,longest_ORF_alan,segment_7916_8695,OU (Z0=Zeq),349.82355085096515,11982.065674220083,55.968377085067225,55.968377085067225
119,longest_ORF_alan,segment_7916_8695,BM,339.65650192205726,11975.404792405745,55.98659661213869,55.98659661213869
